stop_id,stop_name,stop_lat,stop_lon,route_type,wheelchair_boarding
LRNE2,Lourneau,47.20026797,-1.48825735,3,1
GCEN2,Grande Censive,47.25211163,-1.54991861,3,1
DLLE1,Drillet,47.23485312,-1.66629438,3,1
MNSS2,Malnoue,47.20256279,-1.50558116,3,2
MPTA2,Maison Poitard,47.14698519,-1.64825784,3,2
GMAR1,Gare Maritime,47.20707518,-1.57291704,0,1
ODNE1,Ordronneau,47.19389218,-1.57431537,3,2
BCOI4,Branchoire,47.21781407,-1.60422459,3,1
MIAI1,Minais,47.25704904,-1.46613416,3,1
SADU1,Santos Dumont,47.25958658,-1.56833141,0,1
SSEB2,St-Sébastien,47.20754113,-1.50316185,3,1
MHDI2,Mahaudières,47.18890856,-1.56103357,3,2
TTMO5,Trentemoult,47.19185759,-1.58199944,3,1
MPAU6,Marcel Paul,47.2458014,-1.6157193,3,1
STBS1,Stade,47.19129159,-1.70722902,3,1
JBAR2,Jean Bart,47.19969093,-1.67650606,3,2
MRRI1,Marrière,47.23755532,-1.524666,3,1
HOGR1,Hongrie,47.21594292,-1.52411609,3,1
MADO1,Mandon,47.16083318,-1.47112327,3,2
DCFF2,Du Chaffault,47.20764712,-1.58198473,0,1
CALI3,Californie,47.1908612,-1.58531429,3,2
NRDA3,Neruda,47.21752081,-1.61294915,3,1
CECE1,Centre de La Chapelle,47.29913684,-1.54842829,3,2
LADO2,Ladoumègue,47.29582509,-1.48672198,3,2
BSTI1,Bastière,47.14843303,-1.45940479,3,2
PTBO2,Petit Bois,47.18543623,-1.6784313,3,1
CAHL2,Charlière,47.32083025,-1.55025441,3,2
CLET2,Clétras,47.25586218,-1.5115838,3,2
CUVI1,Cuvier,47.21073923,-1.57408225,3,2
MLCS1,Moulin Cassé,47.15606729,-1.71012099,3,2
LEGU1,Leygues,47.20333033,-1.54141061,3,1
PLAC2,Placis,47.19966003,-1.51986775,3,1
FLAN2,Flandres,47.28562681,-1.54787876,3,1
AGDR1,Angebardière,47.16942145,-1.50521068,3,1
PDOU2,Porte Douillard,47.28949725,-1.51845663,3,2
CLGE2,Chalonges,47.18915535,-1.47262002,3,1
MROT1,Moulin Rothard,47.1958626,-1.74035773,3,1
MOZI1,Monzie,47.20344488,-1.53993347,3,2
JCOU2,Joncours,47.22066083,-1.58625497,3,1
MCAS1,Moulin Cassé,47.25627066,-1.46917285,3,1
NIAG2,Niagara,47.30570573,-1.49470494,3,1
MAZE2,Mazères,47.31365297,-1.35064121,3,2
MOVA1,Mairie d'Orvault,47.27140142,-1.62289783,3,1
JUIV1,Juiverie,47.21072325,-1.62472964,3,1
LNNI1,Lonnières,47.3239146,-1.34784286,3,2
MITR3,Mitrie,47.2278126,-1.52532451,3,1
GBLO1,Grand Blottereau,47.22974326,-1.51105989,3,1
DCAN1,Duchesse Anne - Château,47.21629106,-1.54712738,0,1
LCNE1,Le Chêne,47.16522543,-1.48439435,3,1
EBCA2,Embarcadère,47.19344461,-1.64675763,3,1
JTIC1,Justice,47.20948976,-1.63099877,3,1
ROUS2,Roussière,47.29457715,-1.55299352,3,2
DLME4,Delorme,47.21522686,-1.56415645,3,2
EMBE1,Embellie,47.26470834,-1.51864544,3,1
BJLI1,Bois Jaulin,47.17755185,-1.63701632,3,1
LPEL2,Le Pellerin,47.20067171,-1.75953423,3,1
LRYA2,Le Gray 2,47.2832692,-1.58419394,3,1
RPBL3,République,47.20452977,-1.55504129,3,1
RNTI1,Reinetière,47.25685535,-1.49150955,3,1
PIBL2,Pierre Blanche,47.17203543,-1.62725386,3,1
DERV1,Dervallières,47.22883772,-1.59805271,3,1
PMAR1,Pont Marchand,47.26067881,-1.63149062,3,1
CDMA1,Champ de Manoeuvre,47.27269353,-1.50072902,3,1
PAEB1,Pablée,47.21592699,-1.74031888,3,2
GDFI1,Grand Fief,47.12571342,-1.62572272,3,2
PLOR1,Ploreau,47.30319545,-1.55176217,3,1
ACHA1,Angle Chaillou,47.26971087,-1.57189622,3,2
XTRU1,Croix Truin,47.19137662,-1.7112195,3,1
LCEE1,La Carrée,47.16853282,-1.54390397,3,1
LNNI2,Lonnières,47.32358894,-1.34763497,3,2
BENA3,Beaulieu,47.20344329,-1.53481098,3,1
ODLA2,Ouche des Landes,47.19493678,-1.48191462,3,1
MKSU1,Malakoff,47.2164381,-1.52132434,3,1
KOUF1,Koufra,47.25009025,-1.52983302,3,1
SOEC2,Souchais École,47.30356787,-1.49874075,3,1
GATI1,Gâtine,47.21340454,-1.66059828,3,1
CDAN6,Chêne des Anglais,47.26110215,-1.5747979,3,1
BSNI2,Bussonnière,47.26972299,-1.44372625,3,1
DRAD2,Désirade,47.27770254,-1.48412718,3,1
CHOC1,Chocolaterie,47.24287374,-1.52770038,3,1
